Data;COD_CLI;COD_ARM;COD_PROD;PreçÁo;Quantidade
07/03/2019;5;3;4;30;3
08/03/2019;6;1;2;20;2
09/03/2019;2;1;5;15;1
10/03/2019;6;4;4;15;5
11/03/2019;4;3;6;20;10
12/03/2019;6;3;6;30;10
13/03/2019;2;1;6;30;5
14/03/2019;3;2;4;30;2
15/03/2019;5;1;6;20;2
16/03/2019;4;1;3;30;2
17/03/2019;4;3;6;10;5
18/03/2019;1;2;2;30;10
19/03/2019;6;4;2;15;6
20/03/2019;6;2;6;15;5
21/03/2019;3;2;6;30;4
22/03/2019;4;1;5;30;10
23/03/2019;4;1;3;15;2
24/03/2019;5;2;1;10;2
25/03/2019;5;3;6;25;2
26/03/2019;2;3;4;30;3
27/03/2019;5;1;2;20;2
28/03/2019;3;1;5;15;1
29/03/2019;3;4;4;15;5
30/03/2019;2;3;6;20;10
31/03/2019;5;3;6;30;10
01/04/2019;4;1;6;30;5
02/04/2019;6;2;4;30;2
03/04/2019;3;1;6;20;2
04/04/2019;4;1;3;30;2
05/04/2019;4;3;6;10;5
06/04/2019;6;2;2;30;10
07/04/2019;6;4;2;15;6
08/04/2019;6;2;6;15;5
09/04/2019;2;2;6;30;4
10/04/2019;1;1;5;30;10
11/04/2019;1;1;3;15;2
12/04/2019;1;2;1;10;2
13/04/2019;1;3;6;25;2
14/04/2019;3;3;6;30;3
15/04/2019;1;1;4;20;2
16/04/2019;2;1;6;15;1
17/04/2019;4;4;3;15;5
18/04/2019;3;3;6;20;10
19/04/2019;2;3;2;30;10
20/04/2019;4;1;2;30;5
21/04/2019;4;2;6;30;2
22/04/2019;1;1;6;20;2
23/04/2019;5;1;5;30;2
24/04/2019;5;3;3;10;5
25/04/2019;2;2;1;30;10
26/04/2019;4;4;6;15;6
27/04/2019;4;2;4;15;5
28/04/2019;4;2;2;30;4
29/04/2019;2;1;5;30;10
30/04/2019;3;1;4;15;2
01/05/2019;2;2;6;10;2
02/05/2019;3;3;6;25;2
03/05/2019;1;3;6;30;3
04/05/2019;2;1;4;20;2
05/05/2019;4;1;6;15;1
06/05/2019;1;4;3;15;5
07/05/2019;2;3;6;20;10
08/05/2019;2;3;2;30;10
09/05/2019;5;1;2;30;5
10/05/2019;2;2;6;30;2
11/05/2019;5;1;6;20;2
12/05/2019;5;1;5;30;2
13/05/2019;4;3;3;10;5
14/05/2019;1;2;1;30;10
15/05/2019;1;4;6;15;6
16/05/2019;1;2;4;15;5
17/05/2019;2;2;2;30;4
18/05/2019;4;1;5;30;10
19/05/2019;5;1;4;15;2
20/05/2019;3;2;6;10;2
21/05/2019;2;3;6;25;2
22/05/2019;5;3;6;30;3
23/05/2019;3;1;4;20;2
24/05/2019;4;1;6;15;1
25/05/2019;4;4;3;15;5
26/05/2019;3;3;6;20;10
27/05/2019;2;3;2;30;10
28/05/2019;4;1;2;30;5
29/05/2019;1;2;6;30;2
30/05/2019;2;1;6;20;2
31/05/2019;2;1;5;30;2
01/06/2019;1;3;3;10;5
02/06/2019;6;2;1;30;10
03/06/2019;1;4;6;15;6
04/06/2019;3;2;4;15;5
05/06/2019;3;2;2;30;4
06/06/2019;1;1;5;30;10
07/06/2019;2;1;4;30;5
08/06/2019;1;2;6;30;2
09/06/2019;5;1;6;20;2
10/06/2019;1;1;6;30;2
11/06/2019;3;3;4;10;5
12/06/2019;4;2;6;30;10
13/06/2019;4;4;3;15;6
14/06/2019;6;2;6;15;5
15/06/2019;6;2;2;30;4
16/06/2019;3;1;2;30;10
17/06/2019;5;1;6;15;2
18/06/2019;6;2;6;10;2
19/06/2019;2;3;5;25;2
20/06/2019;4;3;3;30;3
21/06/2019;2;1;1;20;2
22/06/2019;4;1;6;15;1
23/06/2019;5;4;4;15;5
24/06/2019;1;3;2;20;10
25/06/2019;1;3;5;30;10
26/06/2019;5;1;4;30;5
27/06/2019;3;2;6;30;2
28/06/2019;1;1;6;20;2
29/06/2019;5;1;6;30;2
30/06/2019;2;3;4;10;5
01/07/2019;3;2;6;30;10
02/07/2019;2;2;3;30;4
03/07/2019;4;1;6;30;10
04/07/2019;1;1;2;15;2
05/07/2019;1;2;2;10;2
06/07/2019;3;3;6;25;2
07/07/2019;5;3;6;30;3
08/07/2019;5;1;5;20;2
09/07/2019;4;1;3;15;1
10/07/2019;1;4;1;15;5
11/07/2019;1;3;6;20;10
12/07/2019;4;3;4;30;10
13/07/2019;2;1;2;30;5
14/07/2019;4;2;5;30;2
15/07/2019;2;1;4;20;2
16/07/2019;3;1;6;30;2
17/07/2019;1;3;6;10;5
18/07/2019;1;2;6;30;10
19/07/2019;5;4;4;15;6
20/07/2019;4;2;6;15;5
21/07/2019;6;2;3;30;4
22/07/2019;2;1;6;30;10
23/07/2019;2;1;2;15;2
24/07/2019;6;2;2;10;2
25/07/2019;6;3;6;25;2
26/07/2019;5;3;6;30;3
27/07/2019;1;1;5;20;2
28/07/2019;1;1;3;15;1
29/07/2019;5;4;1;15;5
30/07/2019;4;3;6;20;10
31/07/2019;2;3;4;30;10
01/08/2019;3;1;2;30;5
02/08/2019;1;2;5;30;2
03/08/2019;5;1;4;20;2
04/08/2019;1;1;6;30;2
05/08/2019;4;3;6;10;5
06/08/2019;5;2;6;30;10
07/08/2019;2;4;4;15;6
08/08/2019;1;2;6;15;5
09/08/2019;5;2;3;30;4
10/08/2019;5;1;6;30;10
11/08/2019;6;1;2;15;2
12/08/2019;6;2;2;10;2
13/08/2019;5;3;6;25;2
14/08/2019;6;3;6;30;3
15/08/2019;5;1;5;20;2
16/08/2019;4;1;3;15;1
17/08/2019;1;4;1;15;5
18/08/2019;6;3;6;20;10
19/08/2019;6;3;4;30;10
20/08/2019;4;1;2;30;5
21/08/2019;6;2;5;30;2
22/08/2019;1;1;4;20;2
23/08/2019;3;1;6;30;2
24/08/2019;4;3;6;10;5
25/08/2019;6;2;6;30;10
26/08/2019;3;4;4;15;6
27/08/2019;6;2;6;15;5
28/08/2019;1;2;3;30;4
29/08/2019;2;1;6;30;10
30/08/2019;6;1;2;15;2
31/08/2019;3;2;2;10;2
01/09/2019;1;3;6;25;2
02/09/2019;6;3;6;30;3
03/09/2019;5;1;2;20;2
04/09/2019;1;1;2;15;1
05/09/2019;4;4;6;15;5
06/09/2019;4;3;6;20;10
07/09/2019;5;3;5;30;10
08/09/2019;3;1;3;30;5
09/09/2019;1;2;1;30;2
10/09/2019;4;1;6;20;2
11/09/2019;1;1;4;30;2
12/09/2019;5;3;2;10;5
13/09/2019;1;2;5;30;10
14/09/2019;6;4;4;15;6
15/09/2019;3;2;6;15;5
16/09/2019;6;2;6;30;4
17/09/2019;5;1;6;30;10
18/09/2019;3;1;4;15;2
19/09/2019;4;2;6;10;2
20/09/2019;1;3;3;25;2
21/09/2019;2;3;6;30;3
22/09/2019;2;1;2;20;2
23/09/2019;2;1;2;15;1
24/09/2019;3;4;6;15;5
25/09/2019;2;3;6;20;10
26/09/2019;1;3;5;30;10
27/09/2019;6;1;3;30;5
28/09/2019;1;2;1;30;2
29/09/2019;5;1;6;20;2
30/09/2019;1;1;6;30;2
01/10/2019;3;3;4;10;5
02/10/2019;5;2;6;30;10
03/10/2019;5;4;3;15;6
04/10/2019;3;2;6;15;5
05/10/2019;6;2;2;30;4
06/10/2019;3;1;2;30;10
07/10/2019;3;1;6;15;2
08/10/2019;4;2;6;10;2
09/10/2019;2;3;5;25;2
10/10/2019;2;3;3;30;3
11/10/2019;6;1;1;20;2
12/10/2019;5;1;6;15;1
13/10/2019;6;4;4;15;5
14/10/2019;5;3;2;20;10
15/10/2019;2;3;5;30;10
16/10/2019;2;1;4;30;5
17/10/2019;6;2;6;30;2
18/10/2019;3;1;6;20;2
19/10/2019;6;1;6;30;2
20/10/2019;2;3;4;10;5
21/10/2019;6;2;6;30;10
22/10/2019;5;4;3;15;6
23/10/2019;1;2;6;15;5
24/10/2019;6;2;2;30;4
25/10/2019;1;1;2;30;10
26/10/2019;6;1;6;30;5
27/10/2019;5;2;6;30;2
28/10/2019;4;1;5;20;2
29/10/2019;1;1;3;30;2
30/10/2019;4;3;1;10;5
31/10/2019;6;2;6;30;10
01/11/2019;1;4;4;15;6
02/11/2019;3;2;2;15;5
03/11/2019;6;2;5;30;4
04/11/2019;5;1;4;30;10
05/11/2019;5;1;6;15;2
06/11/2019;2;2;6;10;2
07/11/2019;4;3;6;25;2
08/11/2019;5;3;4;30;3
09/11/2019;5;1;6;20;2
10/11/2019;1;1;3;15;1
11/11/2019;1;4;6;15;5
12/11/2019;1;3;2;20;10
13/11/2019;5;3;2;30;10
14/11/2019;5;1;6;30;5
15/11/2019;4;3;6;30;3
16/11/2019;4;1;6;20;2
17/11/2019;4;1;4;15;1
18/11/2019;2;4;6;15;5
19/11/2019;3;3;3;20;10
20/11/2019;5;3;6;30;10
21/11/2019;4;1;2;30;5
22/11/2019;5;2;2;30;2
23/11/2019;6;1;6;20;2
24/11/2019;3;1;6;30;2
25/11/2019;2;3;5;10;5
26/11/2019;5;2;3;30;10
27/11/2019;6;4;1;15;6
28/11/2019;3;2;6;15;5
29/11/2019;4;2;4;30;4
30/11/2019;2;1;2;30;10
01/12/2019;1;1;5;15;2
02/12/2019;3;2;4;10;2
03/12/2019;1;3;6;25;2
04/12/2019;3;3;6;30;3
05/12/2019;2;1;6;20;2
06/12/2019;1;1;4;15;1
07/12/2019;2;4;6;15;5
08/12/2019;6;3;3;20;10
09/12/2019;2;3;6;30;10
10/12/2019;6;1;2;30;5
11/12/2019;2;2;2;30;2
12/12/2019;5;1;6;20;2
13/12/2019;2;1;6;30;2
14/12/2019;6;3;5;10;5
15/12/2019;2;2;3;30;10
16/12/2019;4;4;1;15;6
17/12/2019;1;2;6;15;5
18/12/2019;3;2;4;30;4
19/12/2019;1;1;2;30;10
20/12/2019;5;1;5;30;5
21/12/2019;4;2;4;30;2
22/12/2019;2;1;6;20;2
23/12/2019;2;1;6;30;2
24/12/2019;1;3;6;10;5
25/12/2019;3;2;4;30;10
26/12/2019;6;4;6;15;6
27/12/2019;3;2;3;15;5
28/12/2019;3;2;6;30;4
29/12/2019;1;1;2;30;10
30/12/2019;6;1;2;15;2
31/12/2019;3;2;6;10;2
