Data;COD_CLI;COD_ARM;COD_PROD;PreçÁo;Quantidade
13/10/2017;3;1;6;30;5
14/10/2017;4;2;6;30;2
15/10/2017;5;1;4;20;2
16/10/2017;6;1;6;30;2
17/10/2017;3;3;3;10;5
18/10/2017;3;2;6;30;10
19/10/2017;4;4;2;15;6
20/10/2017;3;2;2;15;5
21/10/2017;6;2;6;30;4
22/10/2017;4;1;6;30;10
23/10/2017;6;1;5;15;2
24/10/2017;1;2;3;10;2
25/10/2017;4;3;1;25;2
26/10/2017;3;3;6;30;3
27/10/2017;6;1;4;20;2
28/10/2017;2;1;2;15;1
29/10/2017;3;4;5;15;5
30/10/2017;3;3;4;20;10
31/10/2017;1;3;6;30;10
01/11/2017;4;1;6;30;5
02/11/2017;3;2;6;30;2
03/11/2017;2;1;4;20;2
04/11/2017;5;1;6;30;2
05/11/2017;6;3;3;10;5
06/11/2017;6;2;6;30;10
07/11/2017;6;4;2;15;6
08/11/2017;4;2;2;15;5
09/11/2017;3;2;6;30;4
10/11/2017;1;1;6;30;10
11/11/2017;6;1;5;15;2
12/11/2017;6;2;3;10;2
13/11/2017;1;3;1;25;2
14/11/2017;6;3;6;30;3
15/11/2017;1;1;4;20;2
16/11/2017;6;1;2;15;1
17/11/2017;4;4;5;15;5
18/11/2017;2;3;4;20;10
19/11/2017;3;3;6;30;10
20/11/2017;3;1;6;30;5
21/11/2017;3;2;6;30;2
22/11/2017;1;1;4;20;2
23/11/2017;4;1;6;30;2
24/11/2017;3;3;3;10;5
25/11/2017;6;2;6;30;10
26/11/2017;4;4;2;15;6
27/11/2017;2;2;2;15;5
28/11/2017;1;2;6;30;4
29/11/2017;2;1;6;30;10
30/11/2017;3;1;5;15;2
01/12/2017;1;2;3;10;2
02/12/2017;4;3;1;25;2
03/12/2017;5;3;6;30;3
04/12/2017;2;1;4;20;2
05/12/2017;5;1;2;15;1
06/12/2017;1;4;5;15;5
07/12/2017;2;3;4;20;10
08/12/2017;3;3;6;30;10
09/12/2017;5;1;6;30;5
10/12/2017;1;2;6;30;2
11/12/2017;3;1;4;20;2
12/12/2017;3;1;6;30;2
13/12/2017;5;3;3;10;5
14/12/2017;3;2;6;30;10
15/12/2017;3;4;2;15;6
16/12/2017;2;2;2;15;5
17/12/2017;5;2;6;30;4
18/12/2017;5;1;6;30;10
19/12/2017;5;1;5;15;2
20/12/2017;3;2;3;10;2
21/12/2017;3;3;1;25;2
22/12/2017;1;3;6;30;3
23/12/2017;5;1;4;20;2
24/12/2017;2;1;2;15;1
25/12/2017;6;4;5;15;5
26/12/2017;6;3;4;20;10
27/12/2017;4;3;6;30;10
28/12/2017;3;1;6;30;5
29/12/2017;5;2;6;30;2
30/12/2017;3;1;4;20;2
31/12/2017;3;1;6;30;2
